jn	abs	pmid
150. J Allergy Clin Immunol. 2010 Dec;126(6):1176-83.e4. doi:	10.1016/j.jaci.2010.07.041.  Staphylococcal exotoxins are strong inducers of IL-22: A potential role in atopic dermatitis.  Niebuhr M(1), Scharonow H, Gathmann M, Mamerow D, Werfel T.  Author information:  (1)Department of Dermatology and Allergy, Division of Immunodermatology and Allergy Research, Hannover Medical School, Hannover, Germany. niebuhr.margarete@mh-hannover.de  BACKGROUND: Patients with atopic dermatitis (AD) and psoriasis are frequently colonized with Staphylococcus aureus that produces staphylococcal enterotoxin B (SEB) and α-toxin. In patients with AD, S aureus colonization is positively correlated with the severity of their eczema. Moreover, IL-22-producing cells have been shown to accumulate in AD skin and to correlate with disease severity. OBJECTIVE: To assess IL-22 production in response to SEB and sublytic α-toxin stimulation in patients with AD and psoriasis compared with healthy controls. METHODS: IL-22 induction was investigated in PBMCs, T cells, and autologous cocultures of keratinocytes and T cells on SEB and α-toxin stimulation in a time-dependent and dose-dependent manner at the mRNA and protein (ELISA and flow  cytometry) level. Anti-IL-1 receptor or anti-IL-6 antibodies were used in blocking experiments. RESULTS: Staphylococcal enterotoxin B and sublytic α-toxin concentrations induced IL-22 production in PBMCs and isolated CD4(+) T cells. IL-22 secretion was enhanced by α-toxin stimulation in autologous cocultures of keratinocytes and T cells. In T cells and PBMCs from patients with AD, IL-22 secretion was significantly enhanced on α-toxin stimulation compared with patients with psoriasis and healthy controls. CONCLUSION: Increased IL-22 secretion induced by staphylococcal exotoxins in the  skin partially explains how skin colonization and infection with S aureus can contribute to chronic skin inflammation in AD.  Copyright © 2010 American Academy of Allergy, Asthma & Immunology. Published by Mosby, Inc. All rights reserved.  DOI: 10.1016/j.jaci.2010.07.041 	20864149
151. J Invest Dermatol. 2011 Jan;131(1):150-7. doi: 10.1038/jid.2010.277. Epub 2010	Sep 23.  IL-25 in atopic dermatitis: a possible link between inflammation and skin barrier dysfunction?  Hvid M(1), Vestergaard C, Kemp K, Christensen GB, Deleuran B, Deleuran M.  Author information:  (1)Institute of Medical Microbiology and Immunology, Aarhus University, Aarhus C, Denmark. malenel@microbiology.au.dk  Atopic dermatitis (AD) is a common skin disease associated with a T(H)2 response  and increased levels of T(H)2-associated cytokines and IgE. The mechanisms resulting in skewing the immune response in a T(H)2 direction in AD are not fully elucidated. However, such skewing has recently been associated with IL-25 in a murine model for allergic airway disease. The aim of this study was to investigate whether IL-25 may have a role in AD. We have identified IL-25-producing cells within the dermis of AD patients and propose that these cells are dendritic cells (DCs). This is supported by in vitro experiments that indicate that monocyte-derived DCs are capable of producing IL-25. As null mutations of filaggrin are associated with the development of an impaired skin barrier in AD, we investigated whether IL-25 affects filaggrin synthesis by keratinocytes. Using mRNA analysis, we have shown that IL-25 stimulation does indeed decrease filaggrin synthesis in cultured keratinocytes. These results suggest that IL-25 produced by DCs could have a dual role as both an inducer of the T(H)2 response and as an inhibitor of filaggrin synthesis, thereby directly affecting skin barrier function in AD patients.  DOI: 10.1038/jid.2010.277 	20861853
152. J Invest Dermatol. 2010 Nov;130(11):2611-20. doi: 10.1038/jid.2010.196. Epub 2010	Jul 15.  A comprehensive analysis of pattern recognition receptors in normal and inflamed  human epidermis: upregulation of dectin-1 in psoriasis.  de Koning HD(1), Rodijk-Olthuis D, van Vlijmen-Willems IM, Joosten LA, Netea MG,  Schalkwijk J, Zeeuwen PL.  Author information:  (1)Department of Dermatology, Radboud University Nijmegen Medical Centre, Nijmegen, The Netherlands. h.dekoning@derma.umcn.nl  Human epidermis plays an important role in host defense by acting as a physical barrier and signaling interface between the environment and the immune system. Pattern recognition receptors (PRRs) are crucial to maintain homeostasis and provide protection during infection, but are also causally involved in monogenic  auto-inflammatory diseases. This study aimed to investigate the epidermal expression of PRRs and several associated host defense molecules in healthy human skin, psoriasis, and atopic dermatitis (AD). Using microarray analysis and real-time quantitative PCR, we found that many of these genes are transcribed in  normal human epidermis. Only a few genes were differentially induced in psoriasis (CLEC7A (dectin-1), Toll-like receptor (TLR) 4, and mannose receptor C type 1 (MRC1)) or AD (MRC1, IL1RN, and IL1β) compared with normal epidermis. A remarkably high expression of dectin-1 mRNA was observed in psoriatic epidermis and this was corroborated by immunohistochemistry. In cultured primary human keratinocytes, dectin-1 expression was induced by IFN-γ, IFN-α, and Th17 cytokines. Keratinocytes were unresponsive, however, to dectin-1 ligands such as  β-glucan or heat-killed Candida albicans, nor did we observe synergy with TLR2/TLR5 ligands. In conclusion, upregulation of dectin-1 in psoriatic lesions seems to be under control of psoriasis-associated cytokines. Its role in the biology of skin inflammation and infection remains to be explored.  DOI: 10.1038/jid.2010.196 	20631729
153. J Allergy Clin Immunol. 2010 Aug;126(2):290-9, 299.e1-4. doi:	10.1016/j.jaci.2010.05.024. Epub 2010 Jul 10.  Thymic stromal lymphopoietin-activated invariant natural killer T cells trigger an innate allergic immune response in atopic dermatitis.  Wu WH(1), Park CO, Oh SH, Kim HJ, Kwon YS, Bae BG, Noh JY, Lee KH.  Author information:  (1)Department of Dermatology and Cutaneous Biology Research Institute, Yonsei University College of Medicine, Seoul, Korea.  BACKGROUND: Although invariant natural killer T (iNKT) cells have been shown to play a critical role in the pathogenesis of asthma, the role of iNKT cells in atopic dermatitis (AD) has not been well evaluated. OBJECTIVE: We investigated whether iNKT cells in patients with AD increased and whether iNKT cells were activated by thymic stromal lymphopoietin (TSLP), which is highly expressed in keratinocytes of AD. METHODS: We assessed the population of iNKT cells in PBMCs of patients with AD and healthy controls (HCs) using flow cytometry. Immunohistochemistry was used to evaluate iNKT cells and TSLP expression in AD and HC skin. We also evaluated whether iNKT cells expressed the TSLP receptor, the effects of TSLP on iNKT cells, and iNKT cell-dendritic cell interactions in a TSLP-rich environment. RESULTS: There were more iNKT cells among PBMCs of patients with moderate to severe AD than mild AD (P < .05) and HC (P < .001). The number of iNKT cells was  significantly larger in severe AD skin lesions than in mild (P < .001) or moderate AD skin lesions (P < .05). TSLP expression increased in lesional skin (P < .001) but not in the sera of patients with AD (P = .729) compared with HC. iNKT cells expressed TSLP receptor protein and mRNA. TSLP directly activated iNKT cells to secrete IL-4 and IL-13, and the concurrent addition of dendritic cells further activated IFN-gamma expression. CONCLUSION: Increased iNKT cells activated by TSLP, especially in patients with severe AD, might play an essential role in the innate allergic immune response in AD.  Copyright 2010 American Academy of Allergy, Asthma & Immunology. Published by Mosby, Inc. All rights reserved.  DOI: 10.1016/j.jaci.2010.05.024 	20624642
154. J Cell Commun Signal. 2010 Jun;4(2):99-107. doi: 10.1007/s12079-010-0090-2. Epub 	2010 May 7.  Spatiotemporal expression of periostin during skin development and incisional wound healing: lessons for human fibrotic scar formation.  Zhou HM, Wang J, Elliott C, Wen W, Hamilton DW, Conway SJ.  Differentiation of fibroblasts to myofibroblasts and collagen fibrillogenesis are two processes essential for normal cutaneous development and repair, but their misregulation also underlies skin-associated fibrosis. Periostin is a matricellular protein normally expressed in adult skin, but its role in skin organogenesis, incisional wound healing and skin pathology has yet to be investigated in any depth. Using C57/BL6 mouse skin as model, we first investigated periostin protein and mRNA spatiotemporal expression and distribution during development and after incisional wounding. Secondarily we assessed whether periostin is expressed in human skin pathologies, including keloid and hypertrophic scars, psoriasis and atopic dermatitis. During development, periostin is expressed in the dermis, basement membrane and hair follicles from embryonic through neonatal stages and in the dermis and hair follicle only in adult. In situ hybridization demonstrated that dermal fibroblasts and basal keratinocytes express periostin mRNA. After incisional wounding, periostin becomes re-expressed in the basement membrane within the dermal-epidermal junction at the wound edge re-establishing the embryonic deposition pattern present in the adult. Analysis of periostin expression in human pathologies demonstrated that it is over-expressed in keloid and hypertrophic scars, atopic dermatitis, but is largely absent from sites of inflammation and inflammatory conditions such as psoriasis. Furthermore, in vitro we demonstrated that periostin is a transforming growth factor beta 1 inducible gene in human dermal fibroblasts. We conclude that periostin is an important ECM  component during development, in wound healing and is strongly associated with pathological skin remodeling.SUMMARY: Periostin is a fibrogenic protein that mediates fibroblast differentiation and extracellular matrix synthesis. Here, we  show that periostin is dynamically and temporally expressed during skin development, is induced by TGF-beta1 in vitro and is significantly upregulated during wound repair as well as cutaneous pathologies.  DOI: 10.1007/s12079-010-0090-2  PMCID: PMC2876237	20531985
155. Int Immunol. 2010 Jun;22(6):453-67. doi: 10.1093/intimm/dxq027. Epub 2010 Apr 21.	 Activation of human eosinophils and epidermal keratinocytes by Th2 cytokine IL-31: implication for the immunopathogenesis of atopic dermatitis.  Cheung PF(1), Wong CK, Ho AW, Hu S, Chen DP, Lam CW.  Author information:  (1)Department of Chemical Pathology, The Chinese University of Hong Kong, Prince  of Wales Hospital, Shatin, NT, Hong Kong.  IL-31 is a novel T(h) type 2 cytokine that can induce pruritus and dermatitis in  mice resembling human atopic dermatitis (AD). Eosinophil infiltration in skin lesions is a predominant pathological feature of AD. In the present study, we investigated the effects of IL-31 on the activation of human eosinophils and epidermal keratinocytes. Eosinophils and keratinocytes were cultured either together or separately in the presence or absence of IL-31 stimulation. IL-31 could significantly induce the release of pro-inflammatory cytokines IL-1beta, IL-6 and AD-related chemokines CXCL1, CXCL8, CCL2 and CCL18 from eosinophils, via functional cell surface IL-31 receptor. Such induction was further enhanced upon  the co-culture of eosinophils and keratinocytes, in which eosinophils were the main source for releasing pro-inflammatory cytokines and chemokines. The presence of transwell inserts in co-culture system demonstrated that the direct interaction between eosinophils and keratinocytes was required for IL-31-induced  cytokine and chemokine release. Cell surface expression of adhesion molecule CD18 on eosinophils and intercellular adhesion molecule-1 on keratinocytes was up-regulated in the co-culture, and levels were further enhanced upon IL-31 stimulation. The interaction between eosinophils and keratinocytes under IL-31 stimulation was differentially mediated through intracellular mitogen-activated protein kinases, nuclear factor-kappaB and phosphatidylinositol 3-kinase-Akt pathways. The above findings suggest a crucial immunopathological role of IL-31 in AD through activation of eosinophils-keratinocytes system.  DOI: 10.1093/intimm/dxq027 	20410259
156. J Biol Chem. 2010 May 14;285(20):14955-63. doi: 10.1074/jbc.M109.049163. Epub	2010 Mar 24.  Definition and characterization of an inhibitor for interleukin-31.  Venereau E(1), Diveu C, Grimaud L, Ravon E, Froger J, Preisser L, Danger Y, Maillasson M, Garrigue-Antar L, Jacques Y, Chevalier S, Gascan H.  Author information:  (1)Unité Mixte Inserm 564, Bâtiment Monteclair, 4 rue Larrey, 49033 Angers Cedex  09, France.  Interleukin-31 (IL-31) is a recently described T cell-derived cytokine, mainly produced by T helper type 2 cells and related to the IL-6 cytokine family according to its structure and receptor. IL-31 is the ligand for a heterodimeric  receptor composed of a gp130-like receptor (GPL) associated with the oncostatin M receptor (OSMR). A link between IL-31 and atopic dermatitis was shown by studying the phenotype of IL-31 transgenic mice and IL-31 gene haplotypes in patients suffering from dermatitis. In this study, we generated a potent IL-31 antagonist  formed by external portions of OSMR and GPL fused with a linker. This fusion protein, OSMR-L-GPL, consisting of 720 amino acids, counteracted the binding of IL-31 to its membrane receptor complex and the subsequent signaling events involving the STATs and MAPK pathways. Neutralizing effects were found in IL-31-sensitive cell lines, including brain-derived cells and primary cultures of keratinocytes.  DOI: 10.1074/jbc.M109.049163  PMCID: PMC2865271	20335179
157. Biochem Pharmacol. 2010 Jul 1;80(1):95-103. doi: 10.1016/j.bcp.2010.03.009. Epub 	2010 Mar 15.  Sphingosylphosphorylcholine down-regulates filaggrin gene transcription through NOX5-based NADPH oxidase and cyclooxygenase-2 in human keratinocytes.  Choi H(1), Kim S, Kim HJ, Kim KM, Lee CH, Shin JH, Noh M.  Author information:  (1)Skin Research Institute, AmorePacific Corporation Research Center, Yongin, Gyeounggi-do 446-729, Republic of Korea.  Sphingosylphosphorylcholine (SPC) mediates various inflammatory and behavioral responses in atopic dermatitis. Recent studies have shown that dysfunction of the epidermal permeability barrier itself plays a primary role in the etiology of atopic dermatitis. However, the effects of SPC on major proteins essential to the development of the epidermal permeability barrier such as filaggrin, loricrin, involucrin, keratin 1, keratin 10 and small proline-rich proteins are still unclear. In this study, we demonstrated that SPC significantly reduces filaggrin  gene transcription, implying that SPC plays a pivotal role in impairment of the epidermal permeability barrier in atopic dermatitis lesional skin. In cultured normal human keratinocytes (NHKs), SPC increases the intracellular level of reactive oxygen species (ROS) and up-regulates NADPH oxidase 5 (NOX5) gene transcription. SPC also stimulates prostaglandin (PG) E(2) production by increasing cyclooxygenase (COX)-2 expression in NHK. The effects of the prostanoid EP receptor agonists, limaprost, butaprost, and sulprostone on filaggrin gene expression in NHK suggest that the prostanoid EP2 receptor plays a significant role in the PGE(2)-mediated filaggrin down-regulation. In contrast, limaprost and butaprost do not affect NOX5 expression in NHK, implying that the NOX5-regulated ROS pathway stimulated by SPC may be upstream of the COX-2 pathway. We propose that the increase in SPC levels further aggravates dermatological symptoms of atopic dermatitis through SPC-induced down-regulation  of filaggrin in NHK.  (c) 2010 Elsevier Inc. All rights reserved.  DOI: 10.1016/j.bcp.2010.03.009 	20230798
158. J Allergy Clin Immunol. 2010 Mar;125(3):744-6, 746.e1-746.e2. doi:	10.1016/j.jaci.2009.12.934.  Atopic dermatitis keratinocytes exhibit normal T(H)17 cytokine responses.  Nograles KE, Suárez-Fariñas M, Shemer A, Fuentes-Duculan J, Chiricozzi A, Cardinale I, Zaba LC, Kikuchi T, Ramon M, Bergman R, Krueger JG, Guttman-Yassky E.  DOI: 10.1016/j.jaci.2009.12.934  PMCID: PMC4059394	20226306
159. Vet Dermatol. 2009 Oct;20(5-6):331-7. doi: 10.1111/j.1365-3164.2009.00806.x.	 Development of an enzyme-linked immunosorbent assay for detection of circulating  IgG autoantibodies against canine desmoglein 3 in dogs with pemphigus.  Nishifuji K(1), Tamura K, Konno H, Olivry T, Amagai M, Iwasaki T.  Author information:  (1)Department of Veterinary Medicine, Tokyo University of Agriculture and Technology, Fuchu, Tokyo 183-8509, Japan. kojimail@cc.tuat.ac.jp  Pemphigus, a group of autoimmune blistering dermatoses recognized in humans and dogs, is divided into three subgroups: pemphigus vulgaris (PV), pemphigus foliaceus (PF) and paraneoplastic pemphigus (PNP). Previously, we have demonstrated that circulating anti-desmoglein 3 (Dsg3) IgG in dogs with PV and PNP disrupts Dsg3-mediated keratinocyte cell-cell adhesion. The aim of this study was to develop an enzyme-linked immunosorbent assay (ELISA) for the detection of  circulating IgG against canine Dsg3 in dogs with pemphigus. A secreted form of recombinant protein representing the entire extracellular domain of canine Dsg3 (cDsg3) was produced by baculovirus expression and used as the coated antigen in  the ELISA. The titre of anti-cDsg3 ELISA was significantly higher in canine PV (n = 14) than that in healthy dogs (n = 44) (P < 0.05). Of the canine PV and PNP sera, 11/14 (79%) canine PV sera and the canine PNP serum were positive in the anti-cDsg3 ELISA. On the other hand, 14/37 (38%) sera from canine PF and 9/18 (50%) sera from canine autoimmune subepidermal bullous dermatoses were positive in the ELISA. Circulating IgG against cDsg3 was not recognized in dogs with superficial pyoderma (n = 5), atopic dermatitis (n = 8), or in healthy dogs (n =  44). Moreover, IgG immunoreactivity against cDsg3 in all 21 sera was completely absorbed by preincubation with cDsg3. These findings altogether suggest that the  anti-cDsg3 ELISA can be used as a rapid screening test for the detection of circulating anti-Dsg3 IgG autoantibodies in canine pemphigus.  DOI: 10.1111/j.1365-3164.2009.00806.x 	20178469
160. PLoS One. 2010 Feb 18;5(2):e9258. doi: 10.1371/journal.pone.0009258.	 Atopic dermatitis-like disease and associated lethal myeloproliferative disorder  arise from loss of Notch signaling in the murine skin.  Dumortier A(1), Durham AD, Di Piazza M, Vauclair S, Koch U, Ferrand G, Ferrero I, Demehri S, Song LL, Farr AG, Leonard WJ, Kopan R, Miele L, Hohl D, Finke D, Radtke F.  Author information:  (1)Ecole Polytechnique Fédérale de Lausanne (EPFL SV ISREC), Lausanne, Switzerland.  BACKGROUND: The Notch pathway is essential for proper epidermal differentiation during embryonic skin development. Moreover, skin specific loss of Notch signaling in the embryo results in skin barrier defects accompanied by a B-lymphoproliferative disease. However, much less is known about the consequences of loss of Notch signaling after birth. METHODOLOGY AND PRINCIPAL FINDINGS: To study the function of Notch signaling in the skin of adult mice, we made use of a series of conditional gene targeted mice that allow inactivation of several components of the Notch signaling pathway specifically in the skin. We demonstrate that skin-specific inactivation of Notch1 and Notch2 simultaneously, or RBP-J, induces the development of a severe form of atopic dermatitis (AD), characterized by acanthosis, spongiosis and hyperkeratosis, as well as a massive dermal infiltration of eosinophils and mast  cells. Likewise, patients suffering from AD, but not psoriasis or lichen planus,  have a marked reduction of Notch receptor expression in the skin. Loss of Notch in keratinocytes induces the production of thymic stromal lymphopoietin (TSLP), a cytokine deeply implicated in the pathogenesis of AD. The AD-like associated inflammation is accompanied by a myeloproliferative disorder (MPD) characterized  by an increase in immature myeloid populations in the bone marrow and spleen. Transplantation studies revealed that the MPD is cell non-autonomous and caused by dramatic microenvironmental alterations. Genetic studies demontrated that G-CSF mediates the MPD as well as changes in the bone marrow microenvironment leading to osteopenia. SIGNIFICANCE: Our data demonstrate a critical role for Notch in repressing TSLP production in keratinocytes, thereby maintaining integrity of the skin and the hematopoietic system.  DOI: 10.1371/journal.pone.0009258  PMCID: PMC2823782	20174635
161. Ann N Y Acad Sci. 2010 Jan;1183:13-24. doi: 10.1111/j.1749-6632.2009.05128.x.	 Thymic stromal lymphopoietin.  He R(1), Geha RS.  Author information:  (1)Division of Immunology, Children's Hospital, Harvard Medical School, Boston, Massachusetts 02115, USA.  Thymic stromal lymphopoietin (TSLP) is an epithelial cell-derived cytokine expressed in skin, gut, lungs, and thymus. TSLP signals via a TSLP receptor (TSLPR), a heterodimer of the IL-7 receptor alpha chain and the TSLPR chain. The  TSLPR chain is closely related to the common receptor gamma chain that is expressed on a wide range of cell types in the adaptive and innate immune system. TSLP exerts a profound influence on the polarization of dendritic cells to drive  T helper (Th) 2 cytokine production. TSLP also directly promotes T-cell proliferation in response to T-cell receptor activation and Th2 cytokine production and supports B-cell expansion and differentiation. TSLP further amplifies Th2 cytokine production by mast cells and natural killer T cells. These properties confer on TSLP a critical role in driving Th2-mediated inflammation. This role is supported by the finding that TSLP expression is upregulated in keratinocytes of atopic dermatitis skin lesions and in bronchial epithelial cells in asthma.  DOI: 10.1111/j.1749-6632.2009.05128.x  PMCID: PMC2895428	20146705
162. Arch Immunol Ther Exp (Warsz). 2010 Apr;58(2):81-90. doi:	10.1007/s00005-010-0064-3. Epub 2010 Feb 9.  The role of thymic stromal lymphopoietin in allergic inflammation and chronic obstructive pulmonary disease.  Fang C(1), Siew LQ, Corrigan CJ, Ying S.  Author information:  (1)Division of Asthma, Allergy and Lung Biology, MRC and Asthma UK Centre in Allergic Mechanisms of Asthma, King's College London, London, UK.  Thymic stromal lymphopoietin (TSLP) primes dendritic cells to promote a Th2 inflammatory response. Its action is mediated by a heterodimeric receptor which consists of the interleukin-7 receptor alpha chain and the TSLP receptor chain (TSLPR). TSLPR resembles the common gamma chain subunit utilized by many type 1 cytokine receptors. Normal epithelial cells, keratinocytes, and stromal cells constitutively express TSLP. Dendritic cells that are activated by TSLP promote the development of CD4(+) T cells into pro-inflammatory Th2 cells. TSLP thus plays a potentially important role in the pathogenesis of allergic inflammation in asthma and atopic dermatitis. TSLP also has direct effects on other types of cells in the bronchial mucosa. It is over-expressed in the bronchial mucosa in chronic obstructive pulmonary disease (COPD), which is traditionally described as a Th1-related disease, as well as severe asthma, which is traditionally described as a Th2-related disease. In this review we will discuss TSLP expression, function, and available and potential mechanisms in both allergic inflammation and COPD.  DOI: 10.1007/s00005-010-0064-3 	20143171
163. Int Immunopharmacol. 2010 Apr;10(4):520-5. doi: 10.1016/j.intimp.2010.01.015.	Epub 2010 Feb 4.  Hirsutenone inhibits lipopolysaccharide-activated NF-kappaB-induced inflammatory  mediator production by suppressing Toll-like receptor 4 and ERK activation.  Lee CS(1), Jang ER, Kim YJ, Lee MS, Seo SJ, Lee MW.  Author information:  (1)Department of Pharmacology, College of Medicine, Chung-Ang University, Seoul 156-756, South Korea. leecs@cau.ac.kr  Microbial products, including lipopolysaccharide, may be involved in the pathogenesis of skin diseases such as atopic dermatitis. Diarylheptanoids such as oregonin and hirsutenone have been shown to have an anti-inflammatory effect. We  investigated the effect of hirsutenone on lipopolysaccharide-induced inflammatory mediator production in keratinocytes in relation to the Toll-like receptor 4-mediated activation of the extracellular signal-regulated kinase (ERK) and nuclear factor (NF)-kappaB pathways. Hirsutenone, dexamethasone, ERK inhibitor or Bay 11-7085 (an inhibitor of NF-kappaB activation) reduced the lipopolysaccharide-induced production of cytokines IL-1beta and IL-8, and the chemokine CCL17. Hirsutenone, ERK inhibitor or Bay 11-7085 also prevented the lipopolysaccharide-induced expression of Toll-like receptor 4, the phosphorylation of inhibitory kappaB-alpha, the activation of NF-kappaB and the expression of ERK. The results show that hirsutenone may reduce the lipopolysaccharide-stimulated production of inflammatory mediators in keratinocytes by suppressing the Toll-like receptor 4 expression-mediated NF-kappaB activation that is regulated by the ERK pathway. These findings suggest that hirsutenone may exert a preventive effect against microbial endotoxin lipopolysaccharide-induced inflammatory skin diseases through inhibition of ERK pathway-mediated NF-kappaB activation.  Copyright 2010 Elsevier B.V. All rights reserved.  DOI: 10.1016/j.intimp.2010.01.015 	20138154
164. Clin Dermatol. 2010 Jan-Feb;28(1):62-6. doi: 10.1016/j.clindermatol.2009.04.004.	 What is really in control of skin immunity: lymphocytes, dendritic cells, or keratinocytes? facts and controversies.  Rupec RA(1), Boneberger S, Ruzicka T.  Author information:  (1)Department of Dermatology and Allergology, Ludwig-Maximilian-University, 80337 Munich, Germany. Rudolf.Rupec@med.uni-muenchen.de  The pathophysiology of atopic dermatitis is still under discussion. Although it is widely accepted that environmental factors and a genetic predisposition are essential, the role of the innate and adaptive immune system and the functional cascade of the cells involved is still unclear. A concept that integrates all immune cells as equally essential has allure. In addition, barrier abnormalities  due to mutations of the gene coding for filaggrin and down-regulation of antimicrobial peptides, such as LL-37 and beta-defensins 2 and 3, were very recently found to be relevant for the pathogenesis of atopic dermatitis.  Copyright 2010 Elsevier Inc. All rights reserved.  DOI: 10.1016/j.clindermatol.2009.04.004 	20082953
165. Am J Clin Dermatol. 2010;11(1):1-10. doi: 10.2165/11311110-000000000-00000.	 The role of toll-like receptors in host defenses and their relevance to dermatologic diseases.  Terhorst D(1), Kalali BN, Ollert M, Ring J, Mempel M.  Author information:  (1)Department of Dermatology and Allergy, Charité-Universitätsmedizin Berlin, Berlin, Germany.  The family of toll-like receptors (TLRs) plays a central role in the cutaneous immune defense system. To date, different TLRs have been found on several major cell populations of the skin, such as keratinocytes, fibroblasts, antigen-presenting cells, and melanocytes. Activation of TLRs leads, via different intracellular signaling pathways, to the production of pro-inflammatory stimuli, and is considered a danger signal that should transform the skin in to the functional state of defense. However, TLRs have also been implicated in tissue homeostasis and renewal. Within the group of TLRs, two types have been identified: surface-expressed TLRs, which are predominantly active against bacterial cell wall compounds; and intracellular receptors, which preferentially  recognize virus-associated pattern molecules. In addition, surface-expressed receptors trigger phagocytotic and maturation signals, while the intracellular TLRs lead to the induction of antiviral genes. Our review aims to outline the importance of TLRs in the pathogenesis of numerous skin diseases and the potential of TLR agonists as a treatment option for various skin diseases.  DOI: 10.2165/11311110-000000000-00000 	20000870
166. J Exp Med. 2009 Dec 21;206(13):3089-100. doi: 10.1084/jem.20091586. Epub 2009 Dec	7.  Langerhans cell (LC) proliferation mediates neonatal development, homeostasis, and inflammation-associated expansion of the epidermal LC network.  Chorro L(1), Sarde A, Li M, Woollard KJ, Chambon P, Malissen B, Kissenpfennig A,  Barbaroux JB, Groves R, Geissmann F.  Author information:  (1)Centre for Molecular and Cellular Biology of Inflammation, Division of Immunobiology, Infection, and Inflammatory Diseases, King's College London, London SE1 1UL, England, UK.  Most tissues develop from stem cells and precursors that undergo differentiation  as their proliferative potential decreases. Mature differentiated cells rarely proliferate and are replaced at the end of their life by new cells derived from precursors. Langerhans cells (LCs) of the epidermis, although of myeloid origin,  were shown to renew in tissues independently from the bone marrow, suggesting the existence of a dermal or epidermal progenitor. We investigated the mechanisms involved in LC development and homeostasis. We observed that a single wave of LC  precursors was recruited in the epidermis of mice around embryonic day 18 and acquired a dendritic morphology, major histocompatibility complex II, CD11c, and  langerin expression immediately after birth. Langerin(+) cells then undergo a massive burst of proliferation between postnatal day 2 (P2) and P7, expanding their numbers by 10-20-fold. After the first week of life, we observed low-level  proliferation of langerin(+) cells within the epidermis. However, in a mouse model of atopic dermatitis (AD), a keratinocyte signal triggered increased epidermal LC proliferation. Similar findings were observed in epidermis from human patients with AD. Therefore, proliferation of differentiated resident cells represents an alternative pathway for development in the newborn, homeostasis, and expansion in adults of selected myeloid cell populations such as LCs. This mechanism may be relevant in locations where leukocyte trafficking is limited.  DOI: 10.1084/jem.20091586  PMCID: PMC2806478	19995948
167. G Ital Dermatol Venereol. 2009 Dec;144(6):689-700.	 The skin's barrier.  Jensen JM(1), Proksch E.  Author information:  (1)Department of Dermatology, University Hospitals of Schleswig-Holstein, University of Kiel, Kiel, Germany. mjensen@dermatology.uni-kiel.de  The skin provides an effective barrier between the organism and the environment,  preventing the invasion of pathogens and fending off chemical and physical assaults, as well as the unregulated loss of water and solutes. In this review we provide an overview of several components of the physical barrier, as well as how barrier function is regulated and altered in association with dermatoses. The physical barrier localized primarily in the stratum corneum (SC) and consists of  protein-enriched cells (corneocytes with cornified envelope and cytoskeletal elements, as well as corneodesmosomes) and lipid-enriched intercellular domains.  The nucleated epidermis, with its tight, gap and adherens junctions, additional desmosomes and cytoskeletal elements, also contributes to the barrier. Lipids are synthesized in the keratinocytes during epidermal differentiation and are then extruded into the extracellular domains, where they form lipid-enriched extracellular layers. The cornified cell envelope, a robust protein/lipid polymer structure, is located below the cytoplasmic membrane on the exterior of the corneocytes. Ceramides A and B, forming the backbone for the subsequent addition  of free ceramides, free fatty acids and cholesterol in the SC, are covalently bound to cornified envelope proteins. Filaggrin is cross-linked to the cornified  envelope and aggregates keratin filaments into macrofibrils. Cytokines, cAMP and  calcium influence the formation and maintenance of barrier function. Changes in lipid composition and epidermal differentiation lead to a disturbed skin barrier, which allows the entry of environmental allergens, immunological reaction and inflammation in atopic dermatitis. A disturbed skin barrier is an important component in the pathogenesis of contact dermatitis, ichthyosis, psoriasis, and atopic dermatitis.  	19907407
